Symbol,Sample_Count,RMSE,MAE,Hit_Rate
LPTUSDT,31,0.053089198,0.04302605,1.0
NEXOUSDT,31,0.014453057,0.011178361,1.0
LTCUSDT,31,1.1630788,0.9335045,1.0
ARPAUSDT,31,0.00018408053,0.00014893909,1.0
RAREUSDT,31,0.00037556904,0.00031912673,1.0
TRXUSDT,31,0.00434617,0.003425575,1.0
MANTAUSDT,31,0.0017712526,0.0015112596,1.0
AUCTIONUSDT,31,0.098576024,0.08176611,1.0
MBLUSDT,31,1.6141732e-05,1.2533788e-05,1.0
MTLUSDT,31,0.005874128,0.00496524,1.0
OSMOUSDT,31,0.00070810167,0.00057869294,1.0
FDUSDUSDT,31,0.0015952309,0.0015179015,1.0
PAXGUSDT,31,87.374664,67.688,1.0
CVCUSDT,31,0.0006782929,0.0005439608,1.0
SPELLUSDT,31,3.0577196e-06,2.1834253e-06,1.0
BNBUSDT,31,11.818994,9.779817,1.0
CITYUSDT,31,0.010653509,0.008646828,1.0
SFPUSDT,31,0.006742932,0.0056608724,1.0
SCUSDT,31,2.1033908e-05,1.6842238e-05,1.0
QKCUSDT,31,5.3667256e-05,4.3786018e-05,1.0
EURUSDT,31,0.0054695145,0.004051147,1.0
TUSDUSDT,31,0.0016079145,0.0015494823,1.0
USDCUSDT,31,0.0015694989,0.0015604438,1.0
HBARUSDT,31,0.0020182969,0.0016743452,1.0
AEURUSDT,31,0.0044142106,0.0033193326,1.0
ACMUSDT,31,0.008271598,0.0069060423,1.0
HOTUSDT,31,1.0777734e-05,8.94794e-06,1.0
VICUSDT,31,0.0012192035,0.0010449155,1.0
XECUSDT,31,0.0,0.0,1.0
JUVUSDT,31,0.0085473,0.006929458,1.0
USTCUSDT,31,8.5988526e-05,7.0897295e-05,1.0
USDPUSDT,31,0.0015803672,0.0015568598,1.0
API3USDT,31,0.0068821306,0.0058113383,1.0
HIGHUSDT,31,0.0036929515,0.0030881213,0.967741935483871
